name,avg_rating,review_count,url_source
Ông Mập BBQ - CN Sư Vạn Hạnh,4.8,373,https://www.google.com/maps/place/%C3%94ng+M%E1%BA%ADp+BBQ+-+CN+S%C6%B0+V%E1%BA%A1n+H%E1%BA%A1nh/data=!4m7!3m6!1s0x31752f3df7229fb7:0x43c45aedf7a6780a!8m2!3d10.7724021!4d106.6694206!16s%2Fg%2F11ldknn6yz!19sChIJt58i9z0vdTERCnim9-1axEM?authuser=0&hl=en&rclk=1
Ăn Cơm Uống Nước - Thai Bistro & Coffee,4.6,1415,https://www.google.com/maps/place/%C4%82n+C%C6%A1m+U%E1%BB%91ng+N%C6%B0%E1%BB%9Bc+-+Thai+Bistro+%26+Coffee/data=!4m7!3m6!1s0x31752f42214d48c9:0xb4087bedc0c3a6f5!8m2!3d10.7750337!4d106.7002912!16s%2Fg%2F11fl47xc52!19sChIJyUhNIUIvdTER9abDwO17CLQ?authuser=0&hl=en&rclk=1
Ăn Cơm Uống Nước Garden,4.8,1697,https://www.google.com/maps/place/%C4%82n+C%C6%A1m+U%E1%BB%91ng+N%C6%B0%E1%BB%9Bc+Garden/data=!4m7!3m6!1s0x31752f00674b5ffb:0x6834674c0ac491c2!8m2!3d10.783146!4d106.6971477!16s%2Fg%2F11vs6dx9sx!19sChIJ-19LZwAvdTERwpHECkxnNGg?authuser=0&hl=en&rclk=1
Ăn Vặt Hàn Ăn Là Ghiền - HoBak Quận 6,4.4,29,https://www.google.com/maps/place/%C4%82n+V%E1%BA%B7t+H%C3%A0n+%C4%82n+L%C3%A0+Ghi%E1%BB%81n+-+HoBak+Qu%E1%BA%ADn+6/data=!4m7!3m6!1s0x31752f1da7cb5235:0x45c2b2b445502a5f!8m2!3d10.7494494!4d106.6415821!16s%2Fg%2F11vkzk400g!19sChIJNVLLpx0vdTERXypQRbSywkU?authuser=0&hl=en&rclk=1
Đông Phát Food | Gà quay ngon Quận 1 | Gà quay ngon gần đây | Gà quay cơm lam,5.0,2,https://www.google.com/maps/place/%C4%90%C3%B4ng+Ph%C3%A1t+Food+%7C+G%C3%A0+quay+ngon+Qu%E1%BA%ADn+1+%7C+G%C3%A0+quay+ngon+g%E1%BA%A7n+%C4%91%C3%A2y+%7C+G%C3%A0+quay+c%C6%A1m+lam/data=!4m7!3m6!1s0x31752f00648be321:0x71f5d43330caa77!8m2!3d10.767682!4d106.685259!16s%2Fg%2F11w57scd1z!19sChIJIeOLZAAvdTERd6oMM0NdHwc?authuser=0&hl=en&rclk=1
Đồi Thái - Hủ Tiếu Thái Lan,4.1,90,https://www.google.com/maps/place/%C4%90%E1%BB%93i+Th%C3%A1i+-+H%E1%BB%A7+Ti%E1%BA%BFu+Th%C3%A1i+Lan/data=!4m7!3m6!1s0x31752f7adc6f9b7f:0x6d8034ae320e34cb!8m2!3d10.7831794!4d106.703298!16s%2Fg%2F11kk64120z!19sChIJf5tv3HovdTERyzQOMq40gG0?authuser=0&hl=en&rclk=1
ẨM THỰC CHAY NGỘ | QUÁN CHAY NGON Q10,4.5,6,https://www.google.com/maps/place/%E1%BA%A8M+TH%E1%BB%B0C+CHAY+NG%E1%BB%98+%7C+QU%C3%81N+CHAY+NGON+Q10/data=!4m7!3m6!1s0x31752f458d6b4575:0xad953076bf104cc3!8m2!3d10.7679978!4d106.6717954!16s%2Fg%2F11rw7pqdlz!19sChIJdUVrjUUvdTERw0wQv3Ywla0?authuser=0&hl=en&rclk=1
ẨM THỰC VIỆT THÁI,4.7,297,https://www.google.com/maps/place/%E1%BA%A8M+TH%E1%BB%B0C+VI%E1%BB%86T+TH%C3%81I/data=!4m7!3m6!1s0x31752fb89b1e6763:0xcf19a8336f875b3a!8m2!3d10.7651843!4d106.695058!16s%2Fg%2F11sbrpp09r!19sChIJY2cem7gvdTEROluHbzOoGc8?authuser=0&hl=en&rclk=1
Ẩm Thực Quê Nhà Quận 10,4.1,1039,https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+Qu%C3%AA+Nh%C3%A0+Qu%E1%BA%ADn+10/data=!4m7!3m6!1s0x31752fa191e3a97d:0xeaebfc387b29a7e0!8m2!3d10.7691775!4d106.6662679!16s%2Fg%2F11fp1ng4lx!19sChIJfanjkaEvdTER4Kcpezj86-o?authuser=0&hl=en&rclk=1
Ẩm thực Cá Nướng 2,3.9,136,https://www.google.com/maps/place/%E1%BA%A8m+th%E1%BB%B1c+C%C3%A1+N%C6%B0%E1%BB%9Bng+2/data=!4m7!3m6!1s0x31752f9f731d1e7b:0x8ec4fd261ff4f118!8m2!3d10.7506259!4d106.6909012!16s%2Fg%2F11trc4wlrb!19sChIJex4dc58vdTERGPH0Hyb9xI4?authuser=0&hl=en&rclk=1
Ẩm thực sân vườn Mái Lá Quận 7,4.3,445,https://www.google.com/maps/place/%E1%BA%A8m+th%E1%BB%B1c+s%C3%A2n+v%C6%B0%E1%BB%9Dn+M%C3%A1i+L%C3%A1+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x31752f7445b09cef:0x9d6a1c4452f62893!8m2!3d10.7413095!4d106.7089206!16s%2Fg%2F11mxy8mgzf!19sChIJ75ywRXQvdTERkyj2UkQcap0?authuser=0&hl=en&rclk=1
"ỐC TRỨNG MUỐI 6 - 188A Mai Xuân Thưởng, Quận 6, Tp.HCM",4.7,1308,"https://www.google.com/maps/place/%E1%BB%90C+TR%E1%BB%A8NG+MU%E1%BB%90I+6+-+188A+Mai+Xu%C3%A2n+Th%C6%B0%E1%BB%9Fng,+Qu%E1%BA%ADn+6,+Tp.HCM/data=!4m7!3m6!1s0x31752f003e9a2d4f:0x6cc80fa8a0c4029!8m2!3d10.7489671!4d106.6477968!16s%2Fg%2F11w3h9m_36!19sChIJTy2aPgAvdTERKUAMivqAzAY?authuser=0&hl=en&rclk=1"
Ốc Đào,4.2,2192,https://www.google.com/maps/place/%E1%BB%90c+%C4%90%C3%A0o/data=!4m7!3m6!1s0x31752facc18a645b:0x7b48594407b5780b!8m2!3d10.765238!4d106.6846346!16s%2Fg%2F11py_wb8gc!19sChIJW2SKwawvdTERC3i1B0RZSHs?authuser=0&hl=en&rclk=1
Ốc Vy Nguyễn Thái Bình Q1,5.0,143,https://www.google.com/maps/place/%E1%BB%90c+Vy/data=!4m7!3m6!1s0x31752fb9ff541cb3:0xd004b39662e60738!8m2!3d10.768794!4d106.698989!16s%2Fg%2F11lfg_l85y!19sChIJsxxU_7kvdTEROAfmYpazBNA?authuser=0&hl=en&rclk=1
寿司と天ぷら居酒屋かむら- Izakaya Kamura,4.9,3237,https://www.google.com/maps/place/%E5%AF%BF%E5%8F%B8%E3%81%A8%E5%A4%A9%E3%81%B7%E3%82%89%E5%B1%85%E9%85%92%E5%B1%8B%E3%81%8B%E3%82%80%E3%82%89-+Izakaya+Kamura/data=!4m7!3m6!1s0x31752f58467e70a7:0x335ab44670af1e6f!8m2!3d10.7796558!4d106.7051232!16s%2Fg%2F11rc9mwf4x!19sChIJp3B-RlgvdTERbx6vcEa0WjM?authuser=0&hl=en&rclk=1
괸당집 푸미흥점(GWAN DANG JIP),4.7,400,https://www.google.com/maps/place/%EA%B4%B8%EB%8B%B9%EC%A7%91+%ED%91%B8%EB%AF%B8%ED%9D%A5%EC%A0%90%28GWAN+DANG+JIP%29/data=!4m7!3m6!1s0x31752f6c98560727:0x6dcfec4cb3267565!8m2!3d10.727581!4d106.7095214!16s%2Fg%2F11vzckzz95!19sChIJJwdWmGwvdTERZXUms0zsz20?authuser=0&hl=en&rclk=1
일행-ilhaeng KOREA BBQ Quận 1 호치민 삼겹살 맛집,4.8,1124,https://www.google.com/maps/place/%EC%9D%BC%ED%96%89-ilhaeng+KOREA+BBQ+Qu%E1%BA%ADn+1+%ED%98%B8%EC%B9%98%EB%AF%BC+%EC%82%BC%EA%B2%B9%EC%82%B4+%EB%A7%9B%EC%A7%91/data=!4m7!3m6!1s0x31752f112ccfac6d:0xfa63342f3728b3e4!8m2!3d10.7662521!4d106.6879191!16s%2Fg%2F11w32rm5zw!19sChIJbazPLBEvdTER5LMoNy80Y_o?authuser=0&hl=en&rclk=1
풍년감자탕.순대국,4.6,39,https://www.google.com/maps/place/%ED%92%8D%EB%85%84%EA%B0%90%EC%9E%90%ED%83%95.%EC%88%9C%EB%8C%80%EA%B5%AD/data=!4m7!3m6!1s0x31752f0aee8e5893:0x5d6dccc1e420ac6e!8m2!3d10.781531!4d106.7052959!16s%2Fg%2F11mz7xfky5!19sChIJk1iO7govdTERbqwg5MHMbV0?authuser=0&hl=en&rclk=1
HOMIDO,4.9,1132,https://www.google.com/maps/place/%ED%95%9C%EC%8B%9D%EB%8B%B9+%ED%98%B8%EB%AF%B8%EB%8F%84+1%EA%B5%B0+HOMIDO+BBQ+Qu%E1%BA%ADn+1/data=!4m7!3m6!1s0x31752fd5913d3645:0xe039438b75febf54!8m2!3d10.7815031!4d106.7053307!16s%2Fg%2F11vxx0dl6c!19sChIJRTY9kdUvdTERVL_-dYtDOeA?authuser=0&hl=en&rclk=1
Cơm Tấm 229 Vĩnh Viễn,4.2,332,https://www.google.com/maps/place/229+Broken+Rice/data=!4m7!3m6!1s0x31752ee1415a23d7:0xbf3929ae27fff045!8m2!3d10.7639244!4d106.6689676!16s%2Fg%2F11flt8v3s7!19sChIJ1yNaQeEudTERRfD_J64pOb8?authuser=0&hl=en&rclk=1
"3A Korean Food - Gà Rán Sốt Hàn, Mì Cay Hàn Quốc & Tokbokki",4.7,964,"https://www.google.com/maps/place/3A+Korean+Food+-+G%C3%A0+R%C3%A1n+S%E1%BB%91t+H%C3%A0n,+M%C3%AC+Cay+H%C3%A0n+Qu%E1%BB%91c+%26+Tokbokki/data=!4m7!3m6!1s0x31752f1fe5d096d9:0x56cf13dc847c63f5!8m2!3d10.7624352!4d106.6681067!16s%2Fg%2F11wb5zq_l5!19sChIJ2ZbQ5R8vdTER9WN8hNwTz1Y?authuser=0&hl=en&rclk=1"
"3A Korean Food - Gà Rán Sốt Hàn, Mì Cay Hàn Quốc & Tokbokki",4.4,2353,"https://www.google.com/maps/place/3A+Korean+Food+-+G%C3%A0+R%C3%A1n+S%E1%BB%91t+H%C3%A0n,+M%C3%AC+Cay+H%C3%A0n+Qu%E1%BB%91c+%26+Tokbokki/data=!4m7!3m6!1s0x31752f2bd0b43b71:0x458fff88b570ac9e!8m2!3d10.7451563!4d106.6346018!16s%2Fg%2F11vcm5cmrp!19sChIJcTu00CsvdTERnqxwtYj_j0U?authuser=0&hl=en&rclk=1"
7 Khô,4.7,1908,https://www.google.com/maps/place/7+Kh%C3%B4/data=!4m7!3m6!1s0x31752fdd72734e61:0xa0b6b536df7bed4b!8m2!3d10.7662036!4d106.6798448!16s%2Fg%2F11n91l2fn6!19sChIJYU5zct0vdTERS-173za1tqA?authuser=0&hl=en&rclk=1
A MẸT QUÁN,3.7,504,https://www.google.com/maps/place/A+M%E1%BA%B8T+QU%C3%81N/data=!4m7!3m6!1s0x31752fe422c290af:0x7bb63f43f80e5681!8m2!3d10.7747598!4d106.6738504!16s%2Fg%2F11s5m2c7h9!19sChIJr5DCIuQvdTERgVYO-EM_tns?authuser=0&hl=en&rclk=1
Aka House Vạn Hạnh Mall,4.2,1100,https://www.google.com/maps/place/AKAhouse+%EF%BC%88BBQ%EF%BC%89/data=!4m7!3m6!1s0x31752eddc464c075:0x656b4babe490043a!8m2!3d10.7705775!4d106.66969!16s%2Fg%2F11f3y49q04!19sChIJdcBkxN0udTEROgSQ5KtLa2U?authuser=0&hl=en&rclk=1
AMAI TEN Sushi,4.9,478,https://www.google.com/maps/place/AMAI+TEN+Sushi/data=!4m7!3m6!1s0x317525a80cb8dde9:0x144a371d9acc0a79!8m2!3d10.7412002!4d106.7043739!16s%2Fg%2F11svtsz012!19sChIJ6d24DKgldTEReQrMmh03ShQ?authuser=0&hl=en&rclk=1
Ann Quán,4.2,1233,https://www.google.com/maps/place/Ann+Qu%C3%A1n/data=!4m7!3m6!1s0x31752fe5815b8793:0x76012a94ce891f50!8m2!3d10.772439!4d106.704285!16s%2Fg%2F11b6d7f2w8!19sChIJk4dbgeUvdTERUB-JzpQqAXY?authuser=0&hl=en&rclk=1
Nhà hàng Arirang,4.2,1237,https://www.google.com/maps/place/Arirang+restaurant/data=!4m7!3m6!1s0x31752f463c18433d:0xff346f07e920354d!8m2!3d10.7768156!4d106.7061325!16s%2Fg%2F11bxfxvvnr!19sChIJPUMYPEYvdTERTTUg6QdvNP8?authuser=0&hl=en&rclk=1
Aroi Thai - Hủ Tiếu Thái Lan,4.9,1281,https://www.google.com/maps/place/Aroi+Thai+-+H%E1%BB%A7+Ti%E1%BA%BFu+Th%C3%A1i+Lan/data=!4m7!3m6!1s0x31752f95be4f6785:0x2ade0da45beba0e2!8m2!3d10.7498453!4d106.6458183!16s%2Fg%2F11vddmbnz8!19sChIJhWdPvpUvdTER4qDrW6QN3io?authuser=0&hl=en&rclk=1
Ashima Mushroom Hotpot,4.7,894,https://www.google.com/maps/place/Ashima+Mushroom+Hotpot/data=!4m7!3m6!1s0x31752f1a3d110efd:0x34196245f57e14d1!8m2!3d10.76188!4d106.686487!16s%2Fg%2F11j00s21tc!19sChIJ_Q4RPRovdTER0RR-9UViGTQ?authuser=0&hl=en&rclk=1
BÁNH XÈO CÔ ÚT MIỀN TÂY QUẬN 7,4.8,75,https://www.google.com/maps/place/B%C3%81NH+X%C3%88O+C%C3%94+%C3%9AT+MI%E1%BB%80N+T%C3%82Y+QU%E1%BA%ACN+7/data=!4m7!3m6!1s0x31752f49cf67f6ab:0x47e6f3ce0f01aa7f!8m2!3d10.7464949!4d106.7076987!16s%2Fg%2F11svjdd63h!19sChIJq_Znz0kvdTERf6oBD87z5kc?authuser=0&hl=en&rclk=1
BÒ TƠ QUÁN MỘC 486 Nguyễn Thị Minh Khai,4.9,5190,https://www.google.com/maps/place/B%C3%92+T%C6%A0+QU%C3%81N+M%E1%BB%98C+486+Nguy%E1%BB%85n+Th%E1%BB%8B+Minh+Khai/data=!4m7!3m6!1s0x31752f7098e870e3:0xb4ef3c230a828c89!8m2!3d10.7666663!4d106.6825334!16s%2Fg%2F11j_0j7j5t!19sChIJ43DomHAvdTERiYyCCiM877Q?authuser=0&hl=en&rclk=1
"Bà Năm Thông Tin Quận 1 - Nem Nướng Nha Trang, Bún Cá, Cơm Gà",4.8,226,"https://www.google.com/maps/place/B%C3%A0+N%C4%83m+Th%C3%B4ng+Tin+Qu%E1%BA%ADn+1+-+Nem+N%C6%B0%E1%BB%9Bng+Nha+Trang,+B%C3%BAn+C%C3%A1,+C%C6%A1m+G%C3%A0/data=!4m7!3m6!1s0x31752f179dc2dd39:0xbadc0e1a4d51da4f!8m2!3d10.764355!4d106.696104!16s%2Fg%2F11kpm9v2ln!19sChIJOd3CnRcvdTERT9pRTRoO3Lo?authuser=0&hl=en&rclk=1"
Bánh kếp Thái Lan,5.0,7,https://www.google.com/maps/place/B%C3%A1nh+k%E1%BA%BFp+Th%C3%A1i+Lan/data=!4m7!3m6!1s0x31752f001ab0577b:0xe0d68660317e9a6e!8m2!3d10.7485315!4d106.6361072!16s%2Fg%2F11nbh6y_pm!19sChIJe1ewGgAvdTERbpp-MWCG1uA?authuser=0&hl=en&rclk=1
"Bò Tơ Quán Mộc 43-45 Nguyễn Thị Thập ,P.Tân Hưng",4.8,3853,"https://www.google.com/maps/place/B%C3%B2+T%C6%A1+Qu%C3%A1n+M%E1%BB%99c+43-45+Nguy%E1%BB%85n+Th%E1%BB%8B+Th%E1%BA%ADp+,P.T%C3%A2n+H%C6%B0ng/data=!4m7!3m6!1s0x31752f547e0b0ce7:0xb49608f828fbdb93!8m2!3d10.740461!4d106.6987225!16s%2Fg%2F11tdvg_tqn!19sChIJ5wwLflQvdTERk9v7KPgIlrQ?authuser=0&hl=en&rclk=1"
Bò tơ Nhân Phát - 175B Cao Thắng,4.7,1775,https://www.google.com/maps/place/B%C3%B2+t%C6%A1+Nh%C3%A2n+Ph%C3%A1t+-+175B+Cao+Th%E1%BA%AFng/data=!4m7!3m6!1s0x31752f1b66d6e299:0xffc515056f1d8cc4!8m2!3d10.7746424!4d106.6758225!16s%2Fg%2F11h5_vz7dn!19sChIJmeLWZhsvdTERxIwdbwUVxf8?authuser=0&hl=en&rclk=1
"Bò tơ Nhân Phát - 451 Nguyễn Thị Thập, P. Tân Phong, Quận 7",4.8,1412,"https://www.google.com/maps/place/B%C3%B2+t%C6%A1+Nh%C3%A2n+Ph%C3%A1t+-+451+Nguy%E1%BB%85n+Th%E1%BB%8B+Th%E1%BA%ADp,+P.+T%C3%A2n+Phong,+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x31752fcee3fd0875:0xb0fd15785edab0d7!8m2!3d10.7386082!4d106.7107251!16s%2Fg%2F11qp2v5phr!19sChIJdQj9484vdTER17DaXngV_bA?authuser=0&hl=en&rclk=1"
Bún Cá - Phở Bò Bếp Minh Ngọc,4.8,171,https://www.google.com/maps/place/B%C3%BAn+C%C3%A1+-+Ph%E1%BB%9F+B%C3%B2+B%E1%BA%BFp+Minh+Ng%E1%BB%8Dc/data=!4m7!3m6!1s0x31752fa67631f6df:0xeefc697ef8eba98a!8m2!3d10.7753269!4d106.6772079!16s%2Fg%2F11j_2bmz06!19sChIJ3_YxdqYvdTERiqnr-H5p_O4?authuser=0&hl=en&rclk=1
Bún Nấm Cá Thác Lác Cà Na,4.6,251,https://www.google.com/maps/place/B%C3%BAn+N%E1%BA%A5m+C%C3%A1+Th%C3%A1c+L%C3%A1c+C%C3%A0+Na/data=!4m7!3m6!1s0x31752f9fbcfb7cb1:0xec48c05d56d8bc3f!8m2!3d10.7433301!4d106.7016185!16s%2Fg%2F11hd6mcf8x!19sChIJsXz7vJ8vdTERP7zYVl3ASOw?authuser=0&hl=en&rclk=1
Bún Thái Út Nhất,4.8,63,https://www.google.com/maps/place/B%C3%BAn+Th%C3%A1i+%C3%9At+Nh%E1%BA%A5t/data=!4m7!3m6!1s0x31752f7cb53435f5:0x85fc0827777140ac!8m2!3d10.7648449!4d106.6707342!16s%2Fg%2F11sbq_400d!19sChIJ9TU0tXwvdTERrEBxdycI_IU?authuser=0&hl=en&rclk=1
Bún Thái TomYum,5.0,2,https://www.google.com/maps/place/B%C3%BAn+Th%C3%A1i+TomYum/data=!4m7!3m6!1s0x31752fbc2859246b:0xd561fd99a0580123!8m2!3d10.7516114!4d106.6947397!16s%2Fg%2F11mv1v0z5z!19sChIJayRZKLwvdTERIwFYoJn9YdU?authuser=0&hl=en&rclk=1
Bún chua cay Macao 酸辣粉 Q6 (HƯƠNG),4.2,127,https://www.google.com/maps/place/B%C3%BAn+chua+cay+Macao+%E9%85%B8%E8%BE%A3%E7%B2%89+Q6+%28H%C6%AF%C6%A0NG%29/data=!4m7!3m6!1s0x31752f1887bafbbb:0x120dfdf5650cd411!8m2!3d10.7488662!4d106.644909!16s%2Fg%2F11qnyvhj5k!19sChIJu_u6hxgvdTEREdQMZfX9DRI?authuser=0&hl=en&rclk=1
Bún thái Lý Sơn,4.3,45,https://www.google.com/maps/place/B%C3%BAn+th%C3%A1i+L%C3%BD+S%C6%A1n/data=!4m7!3m6!1s0x31752f795639e26d:0x9b0f83f70135592d!8m2!3d10.7516072!4d106.6960583!16s%2Fg%2F11scx9935b!19sChIJbeI5VnkvdTERLVk1AfeDD5s?authuser=0&hl=en&rclk=1
Bún Thái 640 Sư Vạn Hạnh,4.4,363,https://www.google.com/maps/place/B%C3%BAn+th%C3%A1i+si%C3%AAu+cay+2/data=!4m7!3m6!1s0x31752f08cca92fe1:0xe0c16d09579f7e5f!8m2!3d10.7700614!4d106.6706663!16s%2Fg%2F11lllh3gn7!19sChIJ4S-pzAgvdTERX36fVwltweA?authuser=0&hl=en&rclk=1
Bảo Bối & Bảo Vật chi nhánh Quận 7 - 보배반점 푸미흥점,4.9,1911,https://www.google.com/maps/place/B%E1%BA%A3o+B%E1%BB%91i+%26+B%E1%BA%A3o+V%E1%BA%ADt+chi+nh%C3%A1nh+Qu%E1%BA%ADn+7+-+%EB%B3%B4%EB%B0%B0%EB%B0%98%EC%A0%90+%ED%91%B8%EB%AF%B8%ED%9D%A5%EC%A0%90/data=!4m7!3m6!1s0x31752f0008898987:0x1b6b2a67f342532a!8m2!3d10.7300548!4d106.7065779!16s%2Fg%2F11y8l580m8!19sChIJh4mJCAAvdTERKlNC82cqaxs?authuser=0&hl=en&rclk=1
Bếp Cơm Thái,4.6,26,https://www.google.com/maps/place/B%E1%BA%BFp+C%C6%A1m+Th%C3%A1i/data=!4m7!3m6!1s0x31752f5d7a60c5f5:0xe68981f503222ca0!8m2!3d10.778378!4d106.6788988!16s%2Fg%2F11wjhkh7l9!19sChIJ9cVgel0vdTERoCwiA_WBieY?authuser=0&hl=en&rclk=1
Bếp Chay Nhân Duyên - CN Quận 10,4.8,519,https://www.google.com/maps/place/B%E1%BA%BFp+Chay+Nh%C3%A2n+Duy%C3%AAn+-+CN+Qu%E1%BA%ADn+10/data=!4m7!3m6!1s0x31752f718b60ac31:0x576b0dff44696e40!8m2!3d10.7612037!4d106.6740697!16s%2Fg%2F11x8p7r223!19sChIJMaxgi3EvdTERQG5pRP8Na1c?authuser=0&hl=en&rclk=1
Bếp Mẹ Thỏ - Món Ngon Xứ Quảng | Cơm Quê Ngon Quận 7,4.6,60,https://www.google.com/maps/place/B%E1%BA%BFp+M%E1%BA%B9+Th%E1%BB%8F+-+M%C3%B3n+Ngon+X%E1%BB%A9+Qu%E1%BA%A3ng+%7C+C%C6%A1m+Qu%C3%AA+Ngon+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x31752f00022691ab:0x21d19025e50db9f3!8m2!3d10.7375278!4d106.7081389!16s%2Fg%2F11x0x5mw1s!19sChIJq5EmAgAvdTER87kN5SWQ0SE?authuser=0&hl=en&rclk=1
Bếp Thái Koh Yam - 111 Hồ Tùng Mậu,4.9,3144,https://www.google.com/maps/place/B%E1%BA%BFp+Th%C3%A1i+Koh+Yam+-+111+H%E1%BB%93+T%C3%B9ng+M%E1%BA%ADu/data=!4m7!3m6!1s0x31752fe671537e11:0x1c3acccf777affd1!8m2!3d10.772605!4d106.703344!16s%2Fg%2F11s46tq90_!19sChIJEX5TceYvdTER0f96d8_MOhw?authuser=0&hl=en&rclk=1
Bếp Thái Koh Yam - Bà Huyện Thanh Quan,4.9,4196,https://www.google.com/maps/place/B%E1%BA%BFp+Th%C3%A1i+Koh+Yam+-+B%C3%A0+Huy%E1%BB%87n+Thanh+Quan/data=!4m7!3m6!1s0x31752f712ce9e0d7:0x325758726421f048!8m2!3d10.7766924!4d106.6886965!16s%2Fg%2F11t_ycj3jj!19sChIJ1-DpLHEvdTERSPAhZHJYVzI?authuser=0&hl=en&rclk=1
Bếp Thái Ngò Rí,4.6,153,https://www.google.com/maps/place/B%E1%BA%BFp+Th%C3%A1i+Ng%C3%B2+R%C3%AD/data=!4m7!3m6!1s0x31752f3579780ef9:0x440b8dc657bd6ac2!8m2!3d10.7579352!4d106.7014848!16s%2Fg%2F11s8bww40b!19sChIJ-Q54eTUvdTERwmq9V8aNC0Q?authuser=0&hl=en&rclk=1
BBQ Hàn Nhật Mùa Xuân | BBQ Quận 7,4.9,38,https://www.google.com/maps/place/BBQ+H%C3%A0n+Nh%E1%BA%ADt+M%C3%B9a+Xu%C3%A2n+%7C+BBQ+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x3175250057e549bf:0xabb924337ffde621!8m2!3d10.7467661!4d106.7238235!16s%2Fg%2F11ysmmqwrz!19sChIJv0nlVwAldTERIeb9fzMkuas?authuser=0&hl=en&rclk=1
BBQ Kum Dae Ji,4.2,201,https://www.google.com/maps/place/BBQ+Kum+Dae+Ji/data=!4m7!3m6!1s0x31752f4179770a61:0xe9f6ed368439164e!8m2!3d10.7392146!4d106.7069261!16s%2Fg%2F11svv9m4kb!19sChIJYQp3eUEvdTERThY5hDbt9uk?authuser=0&hl=en&rclk=1
BULMAKYEOLSAM [Quận 1],4.7,645,https://www.google.com/maps/place/BULMAKYEOLSAM+%5BQu%E1%BA%ADn+1%5D/data=!4m7!3m6!1s0x31752fdcbc4e891f:0x7af6ac1f4a6b63af!8m2!3d10.7660356!4d106.6933695!16s%2Fg%2F11lds10rtg!19sChIJH4lOvNwvdTERr2NrSh-s9no?authuser=0&hl=en&rclk=1
Bánh canh cua Ngọc Trinh,4.3,316,https://www.google.com/maps/place/Banh+Canh+Cua+Ngoc+Trinh/data=!4m7!3m6!1s0x31752f7d26351f6f:0xa0c10bb93166b5d5!8m2!3d10.7515784!4d106.6965626!16s%2Fg%2F11b7h5hqm2!19sChIJbx81Jn0vdTER1bVmMbkLwaA?authuser=0&hl=en&rclk=1
Bia Hơi Hà Nội - Quận 1,5.0,11,https://www.google.com/maps/place/Bia+H%C6%A1i+H%C3%A0+N%E1%BB%99i+-+Qu%E1%BA%ADn+1/data=!4m7!3m6!1s0x31752f7603e75273:0x94bd6b801adab86b!8m2!3d10.7628847!4d106.6869066!16s%2Fg%2F11ysxmtysk!19sChIJc1LnA3YvdTERa7jaGoBrvZQ?authuser=0&hl=en&rclk=1
Bonchon Chicken - Vạn Hạnh Mall,4.5,611,https://www.google.com/maps/place/Bonchon+Vietnam+-+V%E1%BA%A1n+H%E1%BA%A1nh+Mall/data=!4m7!3m6!1s0x31752f54fdf9b8b9:0x94725861c28814a7!8m2!3d10.7705875!4d106.6694776!16s%2Fg%2F11rw8z7yc3!19sChIJubj5_VQvdTERpxSIwmFYcpQ?authuser=0&hl=en&rclk=1
Bornga,4.2,1319,https://www.google.com/maps/place/Bornga/data=!4m7!3m6!1s0x31752f4870f55e99:0xe9d2893e7afe4e1b!8m2!3d10.7786477!4d106.7019699!16s%2Fg%2F11f31vswwf!19sChIJmV71cEgvdTERG07-ej6J0uk?authuser=0&hl=en&rclk=1
Buffet Poseidon Võ Văn Kiệt Quận 6,4.9,1462,https://www.google.com/maps/place/Buffet+Poseidon+V%C3%B5+V%C4%83n+Ki%E1%BB%87t+Qu%E1%BA%ADn+6/data=!4m7!3m6!1s0x31752f97f9453299:0xb3ebb027dcbf1232!8m2!3d10.7433887!4d106.6489821!16s%2Fg%2F11wv0jjjkq!19sChIJmTJF-ZcvdTERMhK_3Cew67M?authuser=0&hl=en&rclk=1
