N-gram,Tần suất,dịch
ăn,20438,ăn
có,13819,có
là,12651,là
và,10390,và
mà,6462,mà
đồ,6198,đồ
vị,4903,vị
sẽ,4317,sẽ
cả,4281,cả
ko,4217,không
đi,4005,đi
ra,3503,ra
để,2966,để
vì,2891,vì
gà,2801,gà
về,2646,về
bị,2513,bị
vụ,2490,vụ
đã,2255,đã
gì,2225,gì
bò,1873,bò
từ,1706,từ
sự,1565,sự
đc,1525,được
ổn,1447,ổn
ít,1432,ít
mì,1423,mì
dễ,1355,dễ
đó,1334,đó
to,1325,to
cá,1252,cá
rẻ,1228,rẻ
đủ,1171,đủ
ok,1086,ok
no,967,no
so,894,so
độ,887,độ
cơ,858,cơ
đá,850,đá
do,817,do
em,816,em
xe,803,xe
lý,795,lý
cứ,780,cứ
ấy,778,ấy
nó,761,nó
bé,760,bé
cô,728,cô
mỳ,716,mỳ
ai,690,ai
hà,687,hà
dù,680,dù
hộ,673,hộ
mở,660,mở
vs,659,với
đa,657,đa
hè,654,hè
ốc,650,ốc
lạ,642,lạ
đà,627,đà
số,551,số
vẻ,532,vẻ
cafe,523,cafe
mỡ,522,mỡ
vô,500,vô
ng,497,người
rõ,481,rõ
tự,470,tự
ấn,467,ấn
tí,466,tí
bỏ,453,bỏ
tệ,450,tệ
ớt,430,ớt
cà,424,cà
sở,414,sở
ấm,413,ấm
vỏ,386,vỏ
kì,379,kì
bơ,368,bơ
cổ,341,cổ
tư,321,tư
combo,320,combo
hề,312,hề
hồ,310,hồ
bà,307,bà
vệ,302,vệ
xa,291,xa
mê,289,mê
tô,279,tô
dc,272,được
nv,272,nhân viên
ba,270,ba
dã,256,dã
lá,255,lá
lẽ,251,lẽ
nè,249,nè
sợ,248,sợ
ép,234,ép
kỳ,233,kỳ
đỡ,228,đỡ
nc,226,nc
matcha,220,matcha
bè,218,bè
kể,217,kể
ơi,217,ơi
lí,215,lí
đỏ,212,đỏ
họ,212,họ
decor,208,decor
phomai,205,phomai
bộ,201,bộ
củ,197,củ
cx,196,cũng
mẹ,188,mẹ
hn,187,hôm nay
ly,185,ly
nở,179,nở
đề,179,đề
trc,175,trước
cũ,173,cũ
hòa,172,hòa
bề,172,bề
mã,171,mã
rủ,169,rủ
bở,169,bở
an,169,an
lễ,168,lễ
bí,167,bí
mn,165,mọi người
socola,163,socola
hnay,163,hôm nay
dở,157,dở
đổ,156,đổ
me,156,me
ta,155,ta
tố,155,tố
bt,153,biết
hihi,150,hihi
bù,148,bù
da,148,da
in,148,in
tế,147,tế
mẻ,147,mẻ
ôi,146,ôi
huhu,143,huhu
đế,137,đế
tổ,136,tổ
caramen,135,caramen
oke,135,ok
cố,134,cố
ồn,133,ồn
nhg,133,nhưng
xá,133,xá
ơn,132,ơn
tụ,132,tụ
mk,131,mình
tok,131,tok
ty,129,ty
tủ,129,tủ
bbq,128,bbq
tớ,127,tớ
đỗ,125,đỗ
áp,125,áp
kĩ,121,kĩ
ẩm,121,ẩm
bê,121,bê
ảo,119,ảo
mò,118,mò
rẽ,118,rẽ
ntn,114,ntn
ưu,113,ưu
app,109,app
bổ,106,bổ
tả,105,tả
âu,104,âu
xì,104,xì
vợ,104,vợ
su,100,su
sushi,99,sushi
is,99,is
la,97,la
bố,96,bố
sả,96,sả
tý,92,tý
lò,91,lò
kimbap,90,kimbap
sử,88,sử
cờ,87,cờ
gỗ,87,gỗ
km,87,khuyến mãi
burger,86,burger
mỹ,86,mỹ
ỉu,86,ỉu
lê,85,lê
lo,85,lo
dingtea,84,dingtea
kế,84,kế
bì,84,bì
lợ,83,lợ
hi,83,hi
mng,82,mọi người
kỹ,81,kỹ
hệ,79,hệ
ào,79,ào
dạ,78,dạ
há,78,há
du,77,du
cỡ,76,cỡ
kfc,75,kfc
nữ,75,nữ
âm,74,âm
ord,74,ord
kê,73,kê
hò,72,hò
bh,69,bây giờ
sashimi,69,sashimi
ah,68,ah
nọ,68,nọ
nh,67,nh
hóa,66,hóa
xả,66,xả
sa,63,sa
up,62,up
ny,61,ny
lờ,61,lờ
bự,61,bự
ncl,60,nói chung là
cũg,59,cũg
dị,59,dị
of,59,of
nê,58,nê
oder,58,oder
nchung,58,nchung
xà,57,xà
bltm,56,bltm
bõ,56,bõ
dimsum,55,dimsum
bá,55,bá
tạ,55,tạ
hy,55,hy
tử,55,tử
bingsu,54,bingsu
dê,54,dê
vincom,54,vincom
wifi,53,wifi
sò,52,sò
võ,52,võ
sơ,52,sơ
cty,51,cty
kimchi,51,kimchi
ca,51,ca
kg,51,kg
it,51,it
hạ,51,hạ
cf,50,cf
ốp,50,ốp
đô,50,đô
dẻ,49,dẻ
tr,49,trời
má,49,má
se,49,se
rổ,49,rổ
tùy,49,tùy
vỡ,49,vỡ
online,48,online
fb,48,facebook
bờ,48,bờ
oreo,47,oreo
ưa,47,ưa
latte,47,latte
sg,47,sg
tiramisu,47,tiramisu
xé,47,xé
nvien,47,nhân viên
ms,47,ms
tomyum,46,tomyum
bể,46,bể
lọ,46,lọ
đu,45,đu
be,45,be
ví,45,ví
xử,45,xử
ui,45,ui
bồ,44,bồ
ho,44,ho
gato,43,gato
gogi,42,gogi
mô,42,mô
hủ,42,hủ
gu,42,gu
highlands,41,highlands
haha,41,haha
kh,41,không
lẻ,40,lẻ
xã,40,xã
áo,40,áo
cú,40,cú
hanoi,40,hanoi
ức,40,ức
ắp,40,ắp
át,39,át
we,39,we
my,39,my
bthg,38,bình thường
freeship,38,freeship
vn,38,vn
sổ,38,sổ
dè,38,dè
pm,37,pm
vã,37,vã
tỉ,37,tỉ
đk,36,đk
mơ,36,mơ
ám,35,ám
kệ,35,kệ
cụ,35,cụ
ri,35,ri
pepsi,35,pepsi
mù,35,mù
vỉ,34,vỉ
vi,34,vi
vc,34,vc
rv,34,rv
bã,34,bã
vũ,34,vũ
cm,34,cm
panchan,33,panchan
tò,33,tò
ngừoi,33,ngừoi
lè,33,lè
nhưg,33,nhưg
cs,33,cs
na,32,na
vẽ,32,vẽ
qá,32,quá
fai,31,fai
co,31,co
hũ,31,hũ
kb,31,không biết
vani,31,vani
gimbap,31,gimbap
xí,30,xí
bó,30,bó
tờ,30,tờ
vớ,30,vớ
thik,30,thích
lỡ,30,lỡ
ngta,30,ngta
thủy,30,thủy
tê,30,tê
cmt,30,cmt
sẻ,29,sẻ
hí,29,hí
od,29,od
tokbokki,29,tokbokki
iu,29,iu
nilon,29,nilon
sv,28,sv
tỏ,28,tỏ
cari,28,cari
óc,28,óc
facebook,28,facebook
lũ,28,lũ
sư,28,sư
ga,28,ga
ái,28,ái
or,28,or
udon,27,udon
bn,27,bn
ramen,27,ramen
kimbab,27,kimbab
ổi,27,ổi
lồ,27,lồ
mề,27,mề
hổ,27,hổ
airpay,26,airpay
ná,26,ná
xô,26,xô
siro,26,siro
mè,26,mè
deli,26,deli
le,26,le
lotteria,26,lotteria
lô,25,lô
lệ,25,lệ
royaltea,25,royaltea
pasta,25,pasta
kp,25,kp
xò,25,xò
dự,25,dự
go,25,go
khỏe,25,khỏe
ầm,25,ầm
dư,25,dư
on,25,on
lơ,24,lơ
ph,24,ph
deco,24,deco
ha,24,ha
eo,24,eo
đg,24,đang
mĩ,24,mĩ
ma,23,ma
ts,23,ts
cư,23,cư
gỡ,23,gỡ
xế,23,xế
tocotoco,23,tocotoco
om,23,om
cookie,23,cookie
êm,23,êm
bứ,23,bứ
macchiato,23,macchiato
he,23,he
toping,23,toping
nhaa,22,nhaa
bth,22,bình thường
thỏa,22,thỏa
hiuhiu,22,hiuhiu
mờ,22,mờ
chesse,21,chesse
đh,21,đh
instagram,21,instagram
ti,21,ti
dụ,21,dụ
gimbab,21,gimbab
nma,21,nhưng mà
cỏ,21,cỏ
oi,21,oi
di,21,di
xog,21,xog
ac,21,ac
hì,21,hì
haiz,21,haiz
ốm,20,ốm
vé,20,vé
kỉ,20,kỉ
ak,20,ak
uy,20,uy
gongcha,20,gongcha
checkin,20,checkin
hq,20,hôm qua
đả,20,đả
mini,20,mini
hqua,20,hqua
ck,20,ck
úp,20,úp
lm,19,lm
hotline,19,hotline
bf,19,bf
goviet,19,goviet
jamja,19,jamja
rô,19,rô
tu,19,tu
ôm,19,ôm
starbucks,19,starbucks
rì,19,rì
kbh,19,không bao giờ
né,19,né
mìh,19,mìh
ae,18,ae
va,18,va
mik,18,mình
mh,18,mh
mỉ,18,mỉ
ahihi,18,ahihi
zai,18,zai
ẩu,18,ẩu
vả,18,vả
qán,18,quán
úc,17,úc
đơ,17,đơ
bi,17,bi
nà,17,nà
mồ,17,mồ
ksao,17,ksao
hongkong,17,hongkong
grabfood,17,grabfood
